Date,AAPL,DIS
2020-07-28,92.78570556640625,116.18000030517578
2020-07-29,94.56424713134766,115.61000061035156
2020-07-30,95.70849609375,115.66000366210938
2020-07-31,105.72808837890625,116.94000244140625
2020-08-03,108.39218139648438,116.3499984741211
2020-08-04,109.11604309082031,117.29000091552734
2020-08-05,109.51155090332031,127.61000061035156
2020-08-06,113.33232879638672,130.82000732421875
2020-08-07,110.7556381225586,129.92999267578125
2020-08-10,112.36544799804688,128.7899932861328
2020-08-11,109.0237045288086,130.49000549316406
2020-08-12,112.64704132080078,131.7899932861328
2020-08-13,114.64060974121094,130.9600067138672
2020-08-14,114.53844451904297,130.52999877929688
2020-08-17,114.2394027709961,129.3699951171875
2020-08-18,115.19133758544922,128.9199981689453
2020-08-19,115.33586883544922,127.7699966430664
2020-08-20,117.89512634277344,128.1199951171875
2020-08-21,123.97055053710938,127.44000244140625
2020-08-24,125.4532699584961,130.69000244140625
2020-08-25,124.42408752441406,129.7899932861328
2020-08-26,126.11613464355469,132.17999267578125
2020-08-27,124.6084976196289,133.72999572753906
2020-08-28,124.40664672851562,135.5399932861328
2020-08-31,128.62554931640625,131.8699951171875
2020-09-01,133.74903869628906,133.5500030517578
2020-09-02,130.97796630859375,135.38999938964844
2020-09-03,120.49175262451172,133.24000549316406
2020-09-04,120.57150268554688,131.99000549316406
2020-09-08,112.45764923095703,134.1999969482422
2020-09-09,116.94319152832031,133.36000061035156
2020-09-10,113.12549591064453,133.22000122070312
2020-09-11,111.6402816772461,131.75
2020-09-14,114.98948669433594,131.25
2020-09-15,115.16891479492188,131.24000549316406
2020-09-16,111.76985931396484,132.08999633789062
2020-09-17,109.98561096191406,130.22000122070312
2020-09-18,106.4968490600586,128.6300048828125
2020-09-21,109.72644805908203,125.41000366210938
2020-09-22,111.45088195800781,127.20999908447266
2020-09-23,106.77596282958984,123.27999877929688
2020-09-24,107.87242126464844,122.48999786376953
2020-09-25,111.91937255859375,124.0
2020-09-28,114.59076690673828,125.98999786376953
2020-09-29,113.72356414794922,125.4000015258789
2020-09-30,115.43804168701172,124.08000183105469
2020-10-01,116.4148941040039,123.30999755859375
2020-10-02,112.6570053100586,122.55000305175781
2020-10-05,116.12582397460938,123.37000274658203
2020-10-06,112.79655456542969,120.93000030517578
2020-10-07,114.71038818359375,122.91000366210938
2020-10-08,114.60073852539062,123.08999633789062
2020-10-09,116.59431457519531,124.9800033569336
2020-10-12,124.00045776367188,124.97000122070312
2020-10-13,120.71104431152344,128.9600067138672
2020-10-14,120.80076599121094,126.58999633789062
2020-10-15,120.32230377197266,127.36000061035156
2020-10-16,118.63772583007812,126.80999755859375
2020-10-19,115.60749816894531,124.2300033569336
2020-10-20,117.1325912475586,124.94999694824219
2020-10-21,116.49464416503906,126.62999725341797
2020-10-22,115.37823486328125,127.55999755859375
2020-10-23,114.67051696777344,128.35000610351562
2020-10-26,114.68048858642578,124.05999755859375
2020-10-27,116.22550964355469,123.30999755859375
2020-10-28,110.84284973144531,118.47000122070312
2020-10-29,114.94961547851562,121.54000091552734
2020-10-30,108.51036071777344,121.25
2020-11-02,108.420654296875,120.12999725341797
2020-11-03,110.08528900146484,124.0199966430664
2020-11-04,114.58080291748047,125.06999969482422
2020-11-05,118.64769744873047,126.95999908447266
2020-11-06,118.51290893554688,127.45999908447266
2020-11-09,116.14643859863281,142.58999633789062
2020-11-10,115.79696655273438,142.11000061035156
2020-11-11,119.31170654296875,137.82000732421875
2020-11-12,119.0321273803711,135.52000427246094
2020-11-13,119.0820541381836,138.36000061035156
2020-11-16,120.1205062866211,144.6699981689453
2020-11-17,119.21186065673828,144.5
2020-11-18,117.85388946533203,143.89999389648438
2020-11-19,118.46298217773438,141.72000122070312
2020-11-20,117.1649169921875,141.07000732421875
2020-11-23,113.68012237548828,145.97999572753906
2020-11-24,114.99815368652344,151.49000549316406
2020-11-25,115.85687255859375,149.08999633789062
2020-11-27,116.41603088378906,147.1300048828125
2020-11-30,118.87236785888672,148.00999450683594
2020-12-01,122.53689575195312,149.44000244140625
2020-12-02,122.89635467529297,153.61000061035156
2020-12-03,122.7565689086914,153.24000549316406
2020-12-04,122.06759643554688,154.13999938964844
2020-12-07,123.56535339355469,153.67999267578125
2020-12-08,124.19441223144531,153.72000122070312
2020-12-09,121.5982894897461,154.42999267578125
2020-12-10,123.05611419677734,154.69000244140625
2020-12-11,122.22735595703125,175.72000122070312
2020-12-14,121.5982894897461,169.3000030517578
2020-12-15,127.6891860961914,173.94000244140625
2020-12-16,127.61929321289062,173.1199951171875
2020-12-17,128.50796508789062,173.5500030517578
2020-12-18,126.47101593017578,172.88999938964844
2020-12-21,128.03866577148438,170.69000244140625
2020-12-22,131.6832275390625,170.4499969482422
2020-12-23,130.7646026611328,173.5500030517578
2020-12-24,131.77308654785156,173.72999572753906
2020-12-28,136.48605346679688,178.86000061035156
2020-12-29,134.66876220703125,177.3000030517578
2020-12-30,133.52047729492188,181.1699981689453
2020-12-31,132.4920196533203,181.17999267578125
2021-01-04,129.2169189453125,177.67999267578125
2021-01-05,130.81451416015625,178.44000244140625
2021-01-06,126.41110229492188,179.1199951171875
2021-01-07,130.7246551513672,178.5800018310547
2021-01-08,131.85296630859375,178.69000244140625
2021-01-11,128.7875518798828,179.08999633789062
2021-01-12,128.60781860351562,175.99000549316406
2021-01-13,130.6947021484375,176.1199951171875
2021-01-14,128.71766662597656,173.42999267578125
2021-01-15,126.9502944946289,171.44000244140625
2021-01-19,127.63926696777344,172.25999450683594
2021-01-20,131.83299255371094,173.63999938964844
2021-01-21,136.665771484375,171.27999877929688
2021-01-22,138.8625030517578,172.77999877929688
2021-01-25,142.70675659179688,171.88999938964844
2021-01-26,142.94639587402344,169.55999755859375
2021-01-27,141.84803771972656,163.02999877929688
2021-01-28,136.8854522705078,171.8800048828125
2021-01-29,131.7631072998047,168.1699981689453
2021-02-01,133.93984985351562,170.97000122070312
2021-02-02,134.78858947753906,176.9600067138672
2021-02-03,133.7401580810547,176.42999267578125
2021-02-04,137.18499755859375,180.22999572753906
2021-02-05,136.75999450683594,181.16000366210938
2021-02-08,136.91000366210938,190.0
2021-02-09,136.00999450683594,188.2100067138672
2021-02-10,135.38999938964844,189.6300048828125
2021-02-11,135.1300048828125,190.91000366210938
2021-02-12,135.3699951171875,187.6699981689453
2021-02-16,133.19000244140625,186.35000610351562
2021-02-17,130.83999633789062,186.44000244140625
2021-02-18,129.7100067138672,183.0
2021-02-19,129.8699951171875,183.64999389648438
2021-02-22,126.0,191.75999450683594
2021-02-23,125.86000061035156,197.08999633789062
2021-02-24,125.3499984741211,197.50999450683594
2021-02-25,120.98999786376953,190.97999572753906
2021-02-26,121.26000213623047,189.0399932861328
2021-03-01,127.79000091552734,194.97999572753906
2021-03-02,125.12000274658203,193.94000244140625
2021-03-03,122.05999755859375,192.25999450683594
2021-03-04,120.12999725341797,188.02999877929688
2021-03-05,121.41999816894531,189.99000549316406
2021-03-08,116.36000061035156,201.91000366210938
2021-03-09,121.08999633789062,194.50999450683594
2021-03-10,119.9800033569336,195.05999755859375
2021-03-11,121.95999908447266,196.75
2021-03-12,121.02999877929688,197.16000366210938
2021-03-15,123.98999786376953,196.75999450683594
2021-03-16,125.56999969482422,194.24000549316406
2021-03-17,124.76000213623047,195.24000549316406
2021-03-18,120.52999877929688,192.27999877929688
2021-03-19,119.98999786376953,191.13999938964844
2021-03-22,123.38999938964844,192.86000061035156
2021-03-23,122.54000091552734,188.72999572753906
2021-03-24,120.08999633789062,184.72000122070312
2021-03-25,120.58999633789062,186.91000366210938
2021-03-26,121.20999908447266,185.9199981689453
2021-03-29,121.38999938964844,184.85000610351562
2021-03-30,119.9000015258789,185.52999877929688
2021-03-31,122.1500015258789,184.52000427246094
2021-04-01,123.0,188.97000122070312
2021-04-05,125.9000015258789,188.5
2021-04-06,126.20999908447266,189.72999572753906
2021-04-07,127.9000015258789,187.55999755859375
2021-04-08,130.36000061035156,187.32000732421875
2021-04-09,133.0,187.88999938964844
2021-04-12,131.24000549316406,186.49000549316406
2021-04-13,134.42999267578125,185.49000549316406
2021-04-14,132.02999877929688,187.4600067138672
